lat,lon,suburb,published_suburb
-34.6209,-58.4808,Villa Santa Rita,Villa Santa Rita
-34.5803,-58.4134,Palermo,Palermo
-34.6082,-58.4493,Caballito,Caballito
-34.5975,-58.4198,Palermo,Palermo
-34.9178,-57.9481,La Plata,La Plata
-34.6158,-58.5125,Villa Devoto,Villa Devoto
-34.6073,-58.4431,Caballito,Caballito
-34.5633,-58.4624,Belgrano,Belgrano
-34.6171,-58.3751,San Telmo,San Telmo
-34.5598,-58.4545,Belgrano,Belgrano
-34.5589,-58.4441,Belgrano,Belgrano
-34.614,-58.3618,Puerto Madero,Puerto Madero
-34.6133,-58.3625,Puerto Madero,Puerto Madero
-34.6052,-58.4534,Villa Crespo,Villa Crespo
-34.5827,-58.4441,Colegiales,Colegiales
-34.6044,-58.4518,Villa Crespo,Villa Crespo
-34.5969,-58.4262,Villa Crespo,Villa Crespo
-34.59,-58.5172,Villa Devoto,Villa Devoto
-34.65,-58.5193,Liniers,Liniers
-34.5873,-58.4055,Recoleta,Recoleta
-34.5943,-58.4433,Villa Crespo,Villa Crespo
-34.6034,-58.4193,Almagro,Almagro
-34.604,-58.429,Almagro,Almagro
-34.6026,-58.4178,Almagro,Almagro
-34.5822,-58.422,Palermo,Palermo
-34.5524,-58.4832,Saavedra,Saavedra
-34.5978,-58.4409,Villa Crespo,Villa Crespo
-34.6135,-58.4157,Almagro,Almagro
-34.6403,-58.4236,Nueva Pompeya,Nueva Pompeya
-34.6353,-58.4864,Vélez Sarsfield,Vélez Sarsfield
-34.5909,-58.5073,Villa Devoto,Villa Devoto
-34.6064,-58.5071,Villa Devoto,Villa Devoto
-34.5945,-58.446,Villa Crespo,Villa Crespo
-34.58,-58.43,Palermo,Palermo
-34.6272,-58.5082,Villa Luro,Villa Luro
-34.5737,-58.4228,Palermo,Palermo
-34.6066,-58.4305,Almagro,Almagro
-34.5793,-58.4544,Colegiales,Colegiales
-34.6181,-58.3888,Constitución,Constitución
-34.6033,-58.5118,Villa Devoto,Villa Devoto
-34.6086,-58.428,Almagro,Almagro
-34.6138,-58.3613,Puerto Madero,Puerto Madero
-34.5915,-58.38,Retiro,Retiro
-34.5695,-58.4321,Palermo,Palermo
-34.583,-58.4268,Palermo,Palermo
-34.5743,-58.4798,Villa Urquiza,Villa Urquiza
-34.6183,-58.5055,Monte Castro,Monte Castro
-34.9151,-57.9186,La Plata,La Plata
-34.6078,-58.4449,Caballito,Caballito
-34.6235,-58.3681,San Telmo,San Telmo
-34.6073,-58.4299,Almagro,Almagro
-34.6332,-58.4704,Flores,Flores
-34.6326,-58.3596,La Boca,La Boca
-34.5889,-58.4098,Recoleta,Recoleta
-34.6128,-58.419,Almagro,Almagro
-34.595,-58.4943,Agronomía,Agronomía
-34.5973,-58.4455,Villa Crespo,Villa Crespo
-34.6443,-58.4514,Flores,Flores
-34.6069,-58.3914,San Nicolás,San Nicolás
-34.6044,-58.4518,Villa Crespo,Villa Crespo
-34.5419,-58.4783,Saavedra,Saavedra
-34.5945,-58.3841,Retiro,Retiro
-34.5545,-58.4558,Belgrano,Belgrano
-34.6013,-58.3762,San Nicolás,San Nicolás
-34.5929,-58.4018,Recoleta,Recoleta
-34.5537,-58.437,Belgrano,Belgrano
-34.5975,-58.4779,La Paternal,La Paternal
-34.9257,-57.9385,La Plata,La Plata
-34.5556,-58.4388,Belgrano,Belgrano
-34.6022,-58.4224,Almagro,Almagro
-34.6074,-58.4011,Balvanera,Balvanera
-34.5905,-58.4389,Villa Crespo,Villa Crespo
-34.5438,-58.4611,Núñez,Núñez
-34.6244,-58.4505,Caballito,Caballito
-34.6235,-58.3765,San Telmo,San Telmo
-34.5645,-58.4379,Palermo,Palermo
-34.6093,-58.4431,Caballito,Caballito
-34.6016,-58.4301,Almagro,Almagro
